ObjectPad,Threads,Scenario,Allocator,Ops,Time(s),Throughput(op/s),Mem(MB),p50_us,p99_us
128,2,CrossThread,allocate_shared(PoolAlloc),500000,25.32,19747.3,2835.06,0,0
128,4,SameThread,make_shared,2000000,0.14778,1.35337e+07,2831.06,0.2,0.5
128,4,SameThread,allocate_shared(PoolAlloc),2000000,0.13022,1.53587e+07,2835.7,0.1,0.2
128,4,CrossThread,make_shared,1000000,0.266546,3.7517e+06,2835.7,0,0
128,4,CrossThread,allocate_shared(PoolAlloc),1000000,0.166791,5.99552e+06,2842.39,0,0
128,4,CrossThread,make_shared,1000000,2.67609,373680,2850.79,0,0
128,4,CrossThread,allocate_shared(PoolAlloc),1000000,2.61965,381730,2991.38,0,0
128,4,CrossThread,make_shared,1000000,25.2708,39571.4,2991.59,0,0
128,4,CrossThread,allocate_shared(PoolAlloc),1000000,25.2015,39680.2,3003.3,0,0
128,8,SameThread,make_shared,4000000,0.276732,1.44544e+07,2995.3,0.3,0.8
128,8,SameThread,allocate_shared(PoolAlloc),4000000,0.227917,1.75502e+07,3004.59,0.2,0.5
128,8,CrossThread,make_shared,2000000,0.791027,2.52836e+06,3005.68,0,0
128,8,CrossThread,allocate_shared(PoolAlloc),2000000,0.626067,3.19455e+06,3017.98,0,0
128,8,CrossThread,make_shared,2000000,2.75907,724881,3027.7,0,0
128,8,CrossThread,allocate_shared(PoolAlloc),2000000,2.73139,732229,3279.86,0,0
128,8,CrossThread,make_shared,2000000,25.2246,79287.7,3291.86,0,0
128,8,CrossThread,allocate_shared(PoolAlloc),2000000,25.1925,79388.6,3343.66,0,0
128,16,SameThread,make_shared,8000000,0.524021,1.52666e+07,3327.66,0.5,2
128,16,SameThread,allocate_shared(PoolAlloc),8000000,0.46441,1.72262e+07,3346.22,0.4,2
128,16,CrossThread,make_shared,4000000,2.05542,1.94608e+06,3348.56,0,0
128,16,CrossThread,allocate_shared(PoolAlloc),4000000,1.96367,2.037e+06,3365.12,0,0
128,16,CrossThread,make_shared,4000000,3.37851,1.18396e+06,3471.82,0,0
128,16,CrossThread,allocate_shared(PoolAlloc),4000000,3.32568,1.20276e+06,3713.48,0,0
128,16,CrossThread,make_shared,4000000,25.3067,158061,3843.45,0,0
128,16,CrossThread,allocate_shared(PoolAlloc),4000000,25.2747,158261,4036.78,0,0
128,32,SameThread,make_shared,16000000,0.982722,1.62813e+07,4000.99,0.6,2.8
128,32,SameThread,allocate_shared(PoolAlloc),16000000,0.788103,2.03019e+07,4038.11,0.4,2.9
128,32,CrossThread,make_shared,8000000,5.08831,1.57223e+06,4043.5,0,0
128,32,CrossThread,allocate_shared(PoolAlloc),8000000,5.0926,1.57091e+06,4108.05,0,0
128,32,CrossThread,make_shared,8000000,6.35789,1.25828e+06,4266.3,0,0
128,32,CrossThread,allocate_shared(PoolAlloc),8000000,6.09485,1.31258e+06,4368.64,0,0
128,32,CrossThread,make_shared,8000000,25.8217,309817,4918.2,0,0
128,32,CrossThread,allocate_shared(PoolAlloc),8000000,25.7948,310139,5406.61,0,0
128,64,SameThread,make_shared,32000000,1.89482,1.68881e+07,5316.67,0.6,3.2
128,64,SameThread,allocate_shared(PoolAlloc),32000000,1.45702,2.19626e+07,5390.92,0.4,3.5
128,64,CrossThread,make_shared,16000000,10.3336,1.54835e+06,5390.35,0,0
128,64,CrossThread,allocate_shared(PoolAlloc),16000000,10.2037,1.56806e+06,5464.6,0,0
128,64,CrossThread,make_shared,16000000,14.3889,1.11197e+06,6847.54,0,0
128,64,CrossThread,allocate_shared(PoolAlloc),16000000,14.385,1.11227e+06,7895.89,0,0
128,64,CrossThread,make_shared,16000000,32.696,489357,7904.96,0,0
128,64,CrossThread,allocate_shared(PoolAlloc),16000000,32.3564,494493,8284.34,0,0
512,1,SameThread,make_shared,500000,0.0402889,1.24104e+07,8154.16,0.1,0.2
512,1,SameThread,allocate_shared(PoolAlloc),500000,0.0285134,1.75356e+07,8156.25,0,0.1
512,2,CrossThread,make_shared,500000,0.108075,4.6264e+06,8156.27,0,0
512,2,CrossThread,allocate_shared(PoolAlloc),500000,0.0602007,8.30555e+06,8181.3,0,0
512,2,CrossThread,make_shared,500000,2.69375,185615,8257.05,0,0
512,2,CrossThread,allocate_shared(PoolAlloc),500000,2.58628,193328,8735.57,0,0
512,2,CrossThread,make_shared,500000,25.5505,19569.1,8750.01,0,0
512,2,CrossThread,allocate_shared(PoolAlloc),500000,25.2939,19767.6,8774.61,0,0
512,2,SameThread,make_shared,1000000,0.10029,9.97105e+06,8770.61,0.2,0.4
512,2,SameThread,allocate_shared(PoolAlloc),1000000,0.0791368,1.26363e+07,8774.78,0.1,0.1
512,2,CrossThread,make_shared,500000,0.102779,4.86481e+06,8774.79,0,0
512,2,CrossThread,allocate_shared(PoolAlloc),500000,0.0661622,7.55719e+06,8779.02,0,0
512,2,CrossThread,make_shared,500000,2.67128,187176,8783.02,0,0
512,2,CrossThread,allocate_shared(PoolAlloc),500000,2.58554,193383,8790.91,0,0
512,2,CrossThread,make_shared,500000,25.4763,19626.1,8792.43,0,0
512,2,CrossThread,allocate_shared(PoolAlloc),500000,25.2501,19801.9,8796.64,0,0
512,4,SameThread,make_shared,2000000,0.158994,1.25791e+07,8792.64,0.2,0.5
512,4,SameThread,allocate_shared(PoolAlloc),2000000,0.1222,1.63667e+07,8800.97,0.1,0.2
512,4,CrossThread,make_shared,1000000,0.275233,3.63329e+06,8800.97,0,0
512,4,CrossThread,allocate_shared(PoolAlloc),1000000,0.23786,4.20416e+06,8810.3,0,0
512,4,CrossThread,make_shared,1000000,2.69241,371414,9005.91,0,0
